"Scenario","RethMGas","NethermindMGas","RethOverNethermind"
"tests_benchmark_compute_precompile_test_identity.py__test_identity[fork_Prague-benchmark-blockchain_test_engine_x]-gas-value","1328","127","10.457"
"tests_benchmark_compute_instruction_test_account_query.py__test_extcode_ops[fork_Prague-benchmark-blockchain_test_engine_x-opcode_EXTCODECOPY]-gas-value","265","63","4.206"
"tests_benchmark_compute_instruction_test_account_query.py__test_extcode_ops[fork_Prague-benchmark-blockchain_test_engine_x-opcode_EXTCODESIZE]-gas-value","304","72.4","4.199"
"tests_benchmark_compute_instruction_test_system.py__test_xcall[fork_Prague-benchmark-blockchain_test_engine_x-opcode_CALLCODE]-gas-value","257","70.5","3.645"
"tests_benchmark_compute_instruction_test_arithmetic.py__test_arithmetic[fork_Prague-benchmark-blockchain_test_engine_x-opcode_MUL-]-gas-value","657","183","3.59"
"tests_benchmark_compute_instruction_test_comparison.py__test_comparison[fork_Prague-benchmark-blockchain_test_engine_x-opcode_LT-]-gas-value","747","223","3.35"
"tests_benchmark_compute_instruction_test_comparison.py__test_comparison[fork_Prague-benchmark-blockchain_test_engine_x-opcode_SLT-]-gas-value","703","221","3.181"
"tests_benchmark_compute_instruction_test_arithmetic.py__test_arithmetic[fork_Prague-benchmark-blockchain_test_engine_x-opcode_SUB-]-gas-value","740","239","3.096"
"tests_benchmark_compute_instruction_test_system.py__test_xcall[fork_Prague-benchmark-blockchain_test_engine_x-opcode_CALL]-gas-value","250","82.7","3.023"
"tests_benchmark_compute_instruction_test_system.py__test_xcall[fork_Prague-benchmark-blockchain_test_engine_x-opcode_DELEGATECALL]-gas-value","263","94.2","2.792"
"tests_benchmark_compute_instruction_test_bitwise.py__test_bitwise[fork_Prague-benchmark-blockchain_test_engine_x-opcode_XOR-]-gas-value","814","302","2.695"
"tests_benchmark_compute_instruction_test_system.py__test_xcall[fork_Prague-benchmark-blockchain_test_engine_x-opcode_STATICCALL]-gas-value","251","93.4","2.687"
"tests_benchmark_compute_instruction_test_bitwise.py__test_bitwise[fork_Prague-benchmark-blockchain_test_engine_x-opcode_SHL-]-gas-value","430","163","2.638"
"tests_benchmark_compute_instruction_test_bitwise.py__test_bitwise[fork_Prague-benchmark-blockchain_test_engine_x-opcode_OR-]-gas-value","821","312","2.631"
"tests_benchmark_compute_instruction_test_bitwise.py__test_bitwise[fork_Prague-benchmark-blockchain_test_engine_x-opcode_SHR-]-gas-value","439","169","2.598"
"tests_benchmark_compute_instruction_test_storage.py__test_tstore[fork_Prague-benchmark-blockchain_test_engine_x-fixed_value_True-fixed_key_True]-gas-value","1234","487","2.534"
"tests_benchmark_compute_scenario_test_transaction_types.py__test_block_full_of_ether_transfers[fork_Prague-benchmark-blockchain_test_engine_x-balance_1-case_id_a_to_a]-gas-value","1145","452","2.533"
"tests_benchmark_compute_instruction_test_storage.py__test_tstore[fork_Prague-benchmark-blockchain_test_engine_x-fixed_value_True-fixed_key_False]-gas-value","1277","508","2.514"
"tests_benchmark_compute_instruction_test_system.py__test_return_revert[fork_Prague-benchmark-blockchain_test_engine_x-1KiB of zero data-opcode_REVERT]-gas-value","385","154","2.5"
"tests_benchmark_compute_scenario_test_transaction_types.py__test_block_full_of_ether_transfers[fork_Prague-benchmark-blockchain_test_engine_x-balance_0-case_id_a_to_a]-gas-value","1086","440","2.468"
"tests_benchmark_compute_instruction_test_comparison.py__test_iszero[fork_Prague-benchmark-blockchain_test_engine_x]-gas-value","722","293","2.464"
"tests_benchmark_compute_scenario_test_transaction_types.py__test_block_full_of_ether_transfers[fork_Prague-benchmark-blockchain_test_engine_x-balance_0-case_id_a_to_b]-gas-value","1089","444","2.453"
"tests_benchmark_compute_instruction_test_bitwise.py__test_bitwise[fork_Prague-benchmark-blockchain_test_engine_x-opcode_AND-]-gas-value","834","357","2.336"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatacopy[fork_Prague-benchmark-blockchain_test_engine_x-fixed_dst_True-32 bytes-mem_size_256]-gas-value","709","304","2.332"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatacopy[fork_Prague-benchmark-blockchain_test_engine_x-fixed_dst_True-32 bytes-mem_size_32]-gas-value","710","307","2.313"
"tests_benchmark_compute_scenario_test_transaction_types.py__test_block_full_of_ether_transfers[fork_Prague-benchmark-blockchain_test_engine_x-balance_1-case_id_a_to_b]-gas-value","1038","449","2.312"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatacopy[fork_Prague-benchmark-blockchain_test_engine_x-fixed_dst_True-32 bytes-mem_size_1024]-gas-value","697","306","2.278"
"tests_benchmark_compute_instruction_test_arithmetic.py__test_arithmetic[fork_Prague-benchmark-blockchain_test_engine_x-opcode_ADD-]-gas-value","801","355","2.256"
"tests_benchmark_compute_instruction_test_system.py__test_return_revert[fork_Prague-benchmark-blockchain_test_engine_x-1KiB of non-zero data-opcode_RETURN]-gas-value","532","238","2.235"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatacopy[fork_Prague-benchmark-blockchain_test_engine_x-fixed_dst_True-32 bytes-mem_size_0]-gas-value","689","309","2.23"
"tests_benchmark_compute_instruction_test_tx_context.py__test_blobhash[fork_Prague-benchmark-blockchain_test_engine_x-six blobs, access latest]-gas-value","618","284","2.176"
"tests_benchmark_compute_instruction_test_block_context.py__test_blockhash[fork_Prague-benchmark-blockchain_test_engine_x-block_1]-gas-value","941","435","2.163"
"tests_benchmark_compute_instruction_test_tx_context.py__test_blobhash[fork_Prague-benchmark-blockchain_test_engine_x-no blobs]-gas-value","692","320","2.162"
"tests_benchmark_compute_instruction_test_memory.py__test_memory_access[fork_Prague-benchmark-blockchain_test_engine_x-mem_size_10240-offset_initialized_False-offset_31-opcode_MLOAD]-gas-value","615","287","2.143"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatacopy[fork_Prague-benchmark-blockchain_test_engine_x-fixed_dst_True-256 bytes-mem_size_256]-gas-value","961","464","2.071"
"tests_benchmark_compute_instruction_test_memory.py__test_memory_access[fork_Prague-benchmark-blockchain_test_engine_x-mem_size_256-offset_initialized_True-offset_0-opcode_MLOAD]-gas-value","625","304","2.056"
"tests_benchmark_compute_instruction_test_memory.py__test_memory_access[fork_Prague-benchmark-blockchain_test_engine_x-mem_size_1024-offset_initialized_False-offset_1-opcode_MLOAD]-gas-value","619","303","2.043"
"tests_benchmark_compute_instruction_test_comparison.py__test_comparison[fork_Prague-benchmark-blockchain_test_engine_x-opcode_SGT-]-gas-value","678","332","2.042"
"tests_benchmark_compute_instruction_test_memory.py__test_memory_access[fork_Prague-benchmark-blockchain_test_engine_x-mem_size_32-offset_initialized_True-offset_0-opcode_MLOAD]-gas-value","620","304","2.039"
"tests_benchmark_compute_instruction_test_memory.py__test_memory_access[fork_Prague-benchmark-blockchain_test_engine_x-mem_size_0-offset_initialized_True-offset_1-opcode_MSTORE]-gas-value","640","314","2.038"
